# rev, 1, 7
2014,10,5,16,28,39,3
# corner, 1, 2
0,0
# cropsz, 1, 2
5,46
# s_pix, 1, 5
483,484,485,486,487
# s_um, 1, 5
2,2.1125,2.225,2.3375,2.45
# idx, 46, 5
43,43,42,42,42
67,67,67,67,67
92,92,92,92,92
117,117,117,117,117
142,142,142,142,142
167,166,166,166,166
191,191,191,191,191
216,216,216,216,216
241,241,241,241,241
266,266,266,266,266
290,290,290,290,290
328,328,327,327,327
365,365,365,365,365
389,389,389,389,390
414,414,414,414,414
439,439,439,439,439
464,464,464,464,464
488,489,489,489,489
513,513,513,513,514
538,538,538,538,538
563,563,563,563,563
588,588,588,588,588
612,613,613,613,613
55,55,55,55,55
80,80,80,80,80
105,105,104,104,104
129,129,129,129,129
154,154,154,154,154
179,179,179,179,179
204,204,204,204,204
229,228,228,228,228
253,253,253,253,253
278,278,278,278,278
303,303,303,303,303
340,340,340,340,340
377,377,377,377,377
402,402,402,402,402
427,427,427,427,427
451,451,451,451,451
476,476,476,476,476
501,501,501,501,501
526,526,526,526,526
551,551,551,551,551
575,575,575,575,575
600,600,600,600,600
625,625,625,625,625
