# rev, 1, 7
2014,10,5,15,44,39,3
# corner, 1, 2
0,0
# cropsz, 1, 2
50,46
# s_pix, 1, 50
1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049
# s_um, 1, 50
2.04562130177515,2.04789940828402,2.0501775147929,2.05245562130178,2.05473372781065,2.05701183431953,2.0592899408284,2.06156804733728,2.06384615384615,2.06612426035503,2.06840236686391,2.07068047337278,2.07295857988166,2.07523668639053,2.07751479289941,2.07979289940828,2.08207100591716,2.08434911242604,2.08662721893491,2.08890532544379,2.09118343195266,2.09346153846154,2.09573964497041,2.09801775147929,2.10029585798817,2.10257396449704,2.10485207100592,2.10713017751479,2.10940828402367,2.11168639053254,2.11396449704142,2.1162426035503,2.11852071005917,2.12079881656805,2.12307692307692,2.1253550295858,2.12763313609467,2.12991124260355,2.13218934911243,2.1344674556213,2.13674556213018,2.13902366863905,2.14130177514793,2.1435798816568,2.14585798816568,2.14813609467456,2.15041420118343,2.15269230769231,2.15497041420118,2.15724852071006
# idx, 46, 50
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
